city,temperature,feels_like,weather_condition,timestamp
Delhi,25.05,25.31,Haze,2024-10-17 08:41:59
Mumbai,27.99,32.54,Mist,2024-10-17 08:41:23
Chennai,29.44,36.44,Clouds,2024-10-17 08:38:05
Bengaluru,22.27,22.88,Clouds,2024-10-17 08:42:43
Kolkata,29.97,36.97,Haze,2024-10-17 08:40:02
Hyderabad,25.23,26.11,Haze,2024-10-17 08:42:49
Delhi,25.05,25.31,Haze,2024-10-17 08:36:08
Mumbai,27.99,32.54,Mist,2024-10-17 08:37:26
Chennai,29.44,36.44,Clouds,2024-10-17 08:43:13
Bengaluru,22.27,22.88,Clouds,2024-10-17 08:45:00
Kolkata,29.97,36.97,Haze,2024-10-17 08:48:43
Hyderabad,25.23,26.11,Haze,2024-10-17 08:47:51
Delhi,25.05,25.31,Haze,2024-10-17 08:48:50
Mumbai,27.99,32.54,Drizzle,2024-10-17 08:48:35
Chennai,29.9,36.9,Clouds,2024-10-17 08:49:26
Bengaluru,22.27,22.88,Clouds,2024-10-17 08:45:00
Kolkata,29.97,36.97,Haze,2024-10-17 08:48:43
Hyderabad,25.23,26.11,Haze,2024-10-17 08:47:51
Delhi,25.05,25.31,Haze,2024-10-17 08:48:50
Mumbai,27.99,32.54,Drizzle,2024-10-17 08:48:35
Chennai,29.9,36.9,Clouds,2024-10-17 08:49:26
Bengaluru,22.27,22.88,Clouds,2024-10-17 08:45:00
Kolkata,29.97,36.97,Haze,2024-10-17 08:48:43
Hyderabad,25.23,26.11,Haze,2024-10-17 08:47:51
Delhi,30.05,30.38,Haze,2024-10-17 10:13:35
Mumbai,28.99,34.5,Mist,2024-10-17 10:14:24
Chennai,31.1,38.1,Mist,2024-10-17 10:18:57
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:22:07
Kolkata,31.97,38.97,Haze,2024-10-17 10:20:54
Hyderabad,26.23,26.23,Haze,2024-10-17 10:22:35
Delhi,30.05,30.38,Haze,2024-10-17 10:13:35
Mumbai,28.99,34.5,Mist,2024-10-17 10:14:24
Chennai,31.1,38.1,Mist,2024-10-17 10:18:57
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:22:07
Kolkata,31.97,38.97,Haze,2024-10-17 10:20:54
Hyderabad,26.23,26.23,Haze,2024-10-17 10:22:35
Delhi,31.05,30.98,Haze,2024-10-17 10:24:56
Mumbai,28.99,34.5,Mist,2024-10-17 10:27:22
Chennai,31.51,38.51,Mist,2024-10-17 10:27:10
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:22:07
Kolkata,31.97,38.97,Haze,2024-10-17 10:20:54
Hyderabad,26.23,26.23,Haze,2024-10-17 10:22:35
Delhi,31.05,30.98,Haze,2024-10-17 10:30:02
Mumbai,28.99,34.5,Mist,2024-10-17 10:22:06
Chennai,31.47,38.47,Mist,2024-10-17 10:24:28
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:20:15
Kolkata,31.97,38.97,Haze,2024-10-17 10:26:00
Hyderabad,26.23,26.23,Haze,2024-10-17 10:17:50
Delhi,31.05,30.98,Haze,2024-10-17 10:30:02
Mumbai,28.99,34.5,Mist,2024-10-17 10:31:07
Chennai,31.66,38.66,Mist,2024-10-17 10:30:05
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:32:27
Kolkata,31.97,38.97,Haze,2024-10-17 10:37:07
Hyderabad,26.23,26.23,Haze,2024-10-17 10:30:03
Delhi,31.05,30.98,Haze,2024-10-17 10:36:54
Mumbai,28.99,34.5,Mist,2024-10-17 10:31:07
Chennai,31.66,38.66,Mist,2024-10-17 10:30:05
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:32:27
Kolkata,31.97,38.97,Haze,2024-10-17 10:37:07
Hyderabad,26.23,26.23,Haze,2024-10-17 10:30:03
Delhi,31.05,30.98,Haze,2024-10-17 10:36:54
Mumbai,28.99,34.5,Mist,2024-10-17 10:41:00
Chennai,31.57,38.57,Mist,2024-10-17 10:41:07
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:43:48
Kolkata,31.97,38.97,Haze,2024-10-17 10:45:16
Hyderabad,26.23,26.23,Haze,2024-10-17 10:43:50
Delhi,31.05,30.98,Haze,2024-10-17 10:36:54
Mumbai,28.99,34.5,Mist,2024-10-17 10:41:00
Chennai,31.57,38.57,Mist,2024-10-17 10:41:07
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:43:48
Kolkata,31.97,38.97,Haze,2024-10-17 10:45:16
Hyderabad,26.23,26.23,Haze,2024-10-17 10:43:50
Delhi,32.05,31.53,Haze,2024-10-17 10:46:40
Mumbai,28.99,34.5,Mist,2024-10-17 10:52:41
Chennai,31.19,38.19,Mist,2024-10-17 10:47:30
Bengaluru,24.32,24.92,Clouds,2024-10-17 10:43:16
Kolkata,31.97,38.97,Haze,2024-10-17 10:46:03
Hyderabad,27.23,30.05,Haze,2024-10-17 10:53:12
